,NOME,TELEFONE,CATEGORIA,SUBCATEGORIA,CIDADE,UF,EMAIL,EMPRESA,STATUS,ULTIMA_COMPRA,ORIGEM_LEAD,DATA_CADASTRO,RESPONSAVEL,PRIORIDADE,VALOR_POTENCIAL,ETAPA_FUNIL,PROXIMO_CONTATO,OBSERVACOES,TAGS,TELEFONE_2,WHATSAPP,LINKEDIN,INSTAGRAM,CARGO,,CEP,ID_CONTATO,LEAD_SCORE,RESPONSAVEL,DATA_CADASTRO,DATA_ULTIMA_INTERACAO
FALSE,Rafael Carvalho,5515916632702,FORNECEDOR,Eucalipto Verde,Uberlandia,MG,rafael.carvalho@email.com,Eucalipto Verde Almeida,ATIVO,2025-09-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Dias,5518933998303,FORNECEDOR,Briquetes,Uberlandia,MG,pedro.dias@email.com,Briquetes Nunes,ATIVO,2025-06-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Souza,5516962874431,FORNECEDOR,Toras,Uberlandia,MG,bruna.souza@email.com,Toras Almeida,NOVO,2025-06-27,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Moreira,5517925865480,FORNECEDOR,Palanques,Tupa,SP,andre.moreira@email.com,Palanques Souza,ATIVO,2025-03-22,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Rodrigues,5518980869025,FORNECEDOR,Estacas,Goiania,GO,andre.rodrigues@email.com,Estacas Pereira,NOVO,2025-06-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Silva,5518964136881,FORNECEDOR,Palanques,Piraju,SP,julia.silva@email.com,Palanques Ferreira,ATIVO,2025-08-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Costa,5515925729434,FORNECEDOR,Eucalipto Verde,Tupa,SP,ana.costa@email.com,Eucalipto Verde Dias,NOVO,2025-04-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Alves,5516937558589,FORNECEDOR,Toras,Presidente Prudente,SP,juliana.alves@email.com,Toras Dias,VIP,2025-11-17,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Mendes,5518981839340,FORNECEDOR,Estacas,Tupa,SP,ana.mendes@email.com,Estacas Carvalho,ATIVO,2025-06-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Rodrigues,5516960490450,FORNECEDOR,Cavacos,Ribeirao Preto,SP,bruna.rodrigues@email.com,Cavacos Martins,NOVO,2025-07-17,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Rodrigues,5516999136952,FORNECEDOR,Palanques,Botucatu,SP,carlos.rodrigues@email.com,Palanques Ribeiro,NOVO,2025-09-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Gomes,5517926464183,FORNECEDOR,Tratamento CCA,Ribeirao Preto,SP,thiago.gomes@email.com,Tratamento CCA Martins,ATIVO,2025-04-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Silva,5515961585954,FORNECEDOR,Estacas,Rancharia,SP,juliana.silva@email.com,Estacas Nunes,ATIVO,2025-11-14,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Dias,5514943379045,FORNECEDOR,Cavacos,Presidente Prudente,SP,ricardo.dias@email.com,Cavacos Almeida,ATIVO,2025-03-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Dias,5517960002691,FORNECEDOR,Madeira Bruta,Presidente Prudente,SP,julia.dias@email.com,Madeira Bruta Nunes,ATIVO,2025-03-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Almeida,5514941561828,FORNECEDOR,Briquetes,Ourinhos,SP,aline.almeida@email.com,Briquetes Dias,ATIVO,2025-05-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Larissa Silva,5516946680350,FORNECEDOR,Cavacos,Uberlandia,MG,larissa.silva@email.com,Cavacos Moreira,ATIVO,2025-03-14,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Almeida,5515956727100,FORNECEDOR,Madeira Bruta,Campo Grande,MS,ana.almeida@email.com,Madeira Bruta Oliveira,ATIVO,2025-09-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Lucas Dias,5517982953395,FORNECEDOR,Madeira Bruta,Ribeirao Preto,SP,lucas.dias@email.com,Madeira Bruta Rodrigues,NOVO,2025-12-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Oliveira,5518933912844,FORNECEDOR,Toras,Candido Mota,SP,ana.oliveira@email.com,Toras Almeida,ATIVO,2025-12-03,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Santos,5517938736650,FORNECEDOR,Tratamento CCA,Ourinhos,SP,bruno.santos@email.com,Tratamento CCA Martins,ATIVO,2025-05-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Larissa Moreira,5518941673562,FORNECEDOR,Mouroes,Goiania,GO,larissa.moreira@email.com,Mouroes Lima,NOVO,2025-05-11,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Almeida,5515966755933,FORNECEDOR,Cavacos,Uberlandia,MG,bruna.almeida@email.com,Cavacos Gomes,ATIVO,2025-01-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Costa,5514942120973,FORNECEDOR,Palanques,Paraguacu Paulista,SP,joao.costa@email.com,Palanques Martins,VIP,2025-01-24,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Nunes,5516990268127,FORNECEDOR,Toras,Uberlandia,MG,bruna.nunes@email.com,Toras Costa,VIP,2025-02-27,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Pereira,5515991729701,FORNECEDOR,Toras,Ribeirao Preto,SP,ricardo.pereira@email.com,Toras Gomes,ATIVO,2025-10-10,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Costa,5515979905856,FORNECEDOR,Eucalipto Verde,Marilia,SP,aline.costa@email.com,Eucalipto Verde Rocha,VIP,2025-05-10,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Moreira,5514969402175,FORNECEDOR,Postes,Ourinhos,SP,juliana.moreira@email.com,Postes Ferreira,ATIVO,2025-04-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Oliveira,5517954110340,FORNECEDOR,Cavacos,Goiania,GO,rafael.oliveira@email.com,Cavacos Souza,ATIVO,2025-05-27,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Alves,5514941343245,FORNECEDOR,Madeira Bruta,Tupa,SP,carlos.alves@email.com,Madeira Bruta Souza,VIP,2025-03-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Larissa Ferreira,5516967743261,FORNECEDOR,Eucalipto Verde,Ribeirao Preto,SP,larissa.ferreira@email.com,Eucalipto Verde Ribeiro,ATIVO,2025-02-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Moreira,5516950837810,FORNECEDOR,Eucalipto Verde,Tupa,SP,pedro.moreira@email.com,Eucalipto Verde Santos,VIP,2025-09-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Ferreira,5517997173642,FORNECEDOR,Toras,Assis,SP,felipe.ferreira@email.com,Toras Gomes,NOVO,2025-05-16,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Rodrigues,5518980260962,FORNECEDOR,Lenha,Assis,SP,thiago.rodrigues@email.com,Lenha Mendes,NOVO,2025-06-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Larissa Silva,5517956191025,FORNECEDOR,Mouroes,Assis,SP,larissa.silva@email.com,Mouroes Moreira,VIP,2025-08-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Lucas Silva,5516987325397,FORNECEDOR,Cavacos,Rancharia,SP,lucas.silva@email.com,Cavacos Pereira,NOVO,2025-02-05,,,,,,,,,,,,,,,,,,,,,
FALSE,Maria Silva,5515944352783,FORNECEDOR,Madeira Bruta,Marilia,SP,maria.silva@email.com,Madeira Bruta Santos,NOVO,2025-11-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Silva,5517918036906,FORNECEDOR,Cavacos,Candido Mota,SP,juliana.silva@email.com,Cavacos Santos,ATIVO,2025-10-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Lucas Carvalho,5516933936034,FORNECEDOR,Palanques,Presidente Prudente,SP,lucas.carvalho@email.com,Palanques Carvalho,ATIVO,2025-10-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Lima,5515936680316,FORNECEDOR,Palanques,Tupa,SP,bruna.lima@email.com,Palanques Martins,NOVO,2025-01-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Almeida,5516967382499,FORNECEDOR,Cavacos,Uberlandia,MG,andre.almeida@email.com,Cavacos Gomes,VIP,2025-09-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Maria Ribeiro,5515988573040,FORNECEDOR,Cavacos,Londrina,PR,maria.ribeiro@email.com,Cavacos Ribeiro,ATIVO,2025-07-02,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Alves,5518936870203,FORNECEDOR,Estacas,Tupa,SP,aline.alves@email.com,Estacas Carvalho,ATIVO,2025-02-27,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Rocha,5514950026527,FORNECEDOR,Estacas,Candido Mota,SP,joao.rocha@email.com,Estacas Dias,ATIVO,2025-04-17,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Ribeiro,5518912245053,FORNECEDOR,Mouroes,Goiania,GO,ricardo.ribeiro@email.com,Mouroes Oliveira,NOVO,2025-03-11,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Costa,5514942316888,FORNECEDOR,Tratamento CCA,Candido Mota,SP,julia.costa@email.com,Tratamento CCA Martins,NOVO,2025-07-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Rodrigues,5516973607573,FORNECEDOR,Estacas,Campo Grande,MS,andre.rodrigues@email.com,Estacas Dias,VIP,2025-05-18,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Costa,5516964828550,FORNECEDOR,Estacas,Maringa,PR,camila.costa@email.com,Estacas Almeida,ATIVO,2025-09-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Fernanda Rocha,5514925268211,FORNECEDOR,Briquetes,Londrina,PR,fernanda.rocha@email.com,Briquetes Pereira,ATIVO,2025-09-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Carvalho,5516979092256,FORNECEDOR,Palanques,Goiania,GO,bruna.carvalho@email.com,Palanques Gomes,ATIVO,2025-12-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Lima,5514977037193,FORNECEDOR,Toras,Ribeirao Preto,SP,rafael.lima@email.com,Toras Ferreira,ATIVO,2025-09-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Maria Rocha,5515930349031,FORNECEDOR,Toras,Goiania,GO,maria.rocha@email.com,Toras Dias,ATIVO,2025-07-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Silva,5514945756719,FORNECEDOR,Briquetes,Goiania,GO,camila.silva@email.com,Briquetes Rodrigues,ATIVO,2025-07-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Santos,5514936510032,FORNECEDOR,Cavacos,Candido Mota,SP,thiago.santos@email.com,Cavacos Silva,ATIVO,2025-07-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Lima,5514929424059,FORNECEDOR,Estacas,Goiania,GO,camila.lima@email.com,Estacas Rodrigues,ATIVO,2025-06-07,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Moreira,5517948103974,FORNECEDOR,Tratamento CCA,Paraguacu Paulista,SP,joao.moreira@email.com,Tratamento CCA Silva,ATIVO,2025-07-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Carvalho,5514953194219,FORNECEDOR,Cavacos,Botucatu,SP,carlos.carvalho@email.com,Cavacos Dias,ATIVO,2025-08-10,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Costa,5516979729690,FORNECEDOR,Estacas,Piraju,SP,julia.costa@email.com,Estacas Almeida,ATIVO,2025-01-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Larissa Almeida,5515931250983,FORNECEDOR,Cavacos,Londrina,PR,larissa.almeida@email.com,Cavacos Carvalho,NOVO,2025-09-05,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Santos,5515995955923,FORNECEDOR,Eucalipto Verde,Tupa,SP,aline.santos@email.com,Eucalipto Verde Souza,ATIVO,2025-09-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Nunes,5517911948238,FORNECEDOR,Mouroes,Ourinhos,SP,bruna.nunes@email.com,Mouroes Rodrigues,VIP,2025-09-08,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Rocha,5514942948046,FORNECEDOR,Tratamento CCA,Candido Mota,SP,thiago.rocha@email.com,Tratamento CCA Martins,ATIVO,2025-06-07,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Moreira,5517987646616,FORNECEDOR,Eucalipto Verde,Ourinhos,SP,ricardo.moreira@email.com,Eucalipto Verde Martins,ATIVO,2025-01-24,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Dias,5517957529208,FORNECEDOR,Eucalipto Verde,Bauru,SP,ricardo.dias@email.com,Eucalipto Verde Mendes,VIP,2025-09-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Silva,5518960005049,FORNECEDOR,Briquetes,Goiania,GO,pedro.silva@email.com,Briquetes Rocha,NOVO,2025-12-23,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Carvalho,5518944372207,FORNECEDOR,Postes,Candido Mota,SP,carlos.carvalho@email.com,Postes Martins,ATIVO,2025-10-28,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Gomes,5515943429733,FORNECEDOR,Cavacos,Maringa,PR,bruna.gomes@email.com,Cavacos Souza,ATIVO,2025-11-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Rocha,5517910775545,FORNECEDOR,Lenha,Bauru,SP,andre.rocha@email.com,Lenha Ferreira,ATIVO,2025-06-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Silva,5515917944959,FORNECEDOR,Madeira Bruta,Campo Grande,MS,bruno.silva@email.com,Madeira Bruta Souza,VIP,2025-10-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Souza,5515990898711,FORNECEDOR,Palanques,Botucatu,SP,julia.souza@email.com,Palanques Silva,VIP,2025-04-14,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Oliveira,5514920180715,FORNECEDOR,Toras,Piraju,SP,ana.oliveira@email.com,Toras Rodrigues,ATIVO,2025-10-19,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Mendes,5518983699621,FORNECEDOR,Madeira Bruta,Bauru,SP,pedro.mendes@email.com,Madeira Bruta Pereira,ATIVO,2025-05-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Gomes,5517984734506,FORNECEDOR,Postes,Ourinhos,SP,pedro.gomes@email.com,Postes Almeida,ATIVO,2025-04-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Andre Martins,5517938384357,FORNECEDOR,Cavacos,Ribeirao Preto,SP,andre.martins@email.com,Cavacos Dias,NOVO,2025-12-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Mendes,5516923234149,FORNECEDOR,Madeira Bruta,Tupa,SP,bruno.mendes@email.com,Madeira Bruta Pereira,ATIVO,2025-05-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Nunes,5515957472078,FORNECEDOR,Madeira Bruta,Avare,SP,felipe.nunes@email.com,Madeira Bruta Ferreira,ATIVO,2025-02-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Lima,5514952143561,FORNECEDOR,Lenha,Bauru,SP,bruna.lima@email.com,Lenha Souza,ATIVO,2025-09-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Martins,5518914981783,FORNECEDOR,Mouroes,Marilia,SP,ana.martins@email.com,Mouroes Ferreira,VIP,2025-10-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Moreira,5518931687916,FORNECEDOR,Lenha,Paraguacu Paulista,SP,joao.moreira@email.com,Lenha Silva,ATIVO,2025-12-24,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Alves,5518912490801,FORNECEDOR,Palanques,Rancharia,SP,julia.alves@email.com,Palanques Martins,VIP,2025-05-17,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Moreira,5518957833718,FORNECEDOR,Tratamento CCA,Paraguacu Paulista,SP,joao.moreira@email.com,Tratamento CCA Ferreira,ATIVO,2025-10-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Rodrigues,5517946019537,FORNECEDOR,Lenha,Presidente Prudente,SP,carlos.rodrigues@email.com,Lenha Lima,VIP,2025-08-24,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Almeida,5517933098308,FORNECEDOR,Madeira Bruta,Piraju,SP,thiago.almeida@email.com,Madeira Bruta Lima,ATIVO,2025-04-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Carvalho,5515912271013,FORNECEDOR,Tratamento CCA,Maringa,PR,carlos.carvalho@email.com,Tratamento CCA Pereira,NOVO,2025-10-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Gomes,5516921664898,FORNECEDOR,Mouroes,Tupa,SP,ricardo.gomes@email.com,Mouroes Rocha,VIP,2025-05-01,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Costa,5516998076961,FORNECEDOR,Eucalipto Verde,Goiania,GO,ricardo.costa@email.com,Eucalipto Verde Carvalho,ATIVO,2025-10-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Nunes,5518989883518,FORNECEDOR,Briquetes,Presidente Prudente,SP,julia.nunes@email.com,Briquetes Pereira,NOVO,2025-02-19,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruna Rodrigues,5518940839052,FORNECEDOR,Briquetes,Rancharia,SP,bruna.rodrigues@email.com,Briquetes Pereira,ATIVO,2025-08-17,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Lima,5517953870036,FORNECEDOR,Tratamento CCA,Assis,SP,julia.lima@email.com,Tratamento CCA Ribeiro,ATIVO,2025-01-03,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Lima,5517939851559,FORNECEDOR,Lenha,Rancharia,SP,rafael.lima@email.com,Lenha Costa,ATIVO,2025-03-16,,,,,,,,,,,,,,,,,,,,,
FALSE,Fernanda Silva,5518942381484,FORNECEDOR,Briquetes,Campo Grande,MS,fernanda.silva@email.com,Briquetes Rocha,NOVO,2025-08-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Pereira,5518961431784,FORNECEDOR,Toras,Maringa,PR,ricardo.pereira@email.com,Toras Mendes,VIP,2025-12-13,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Martins,5516984180276,FORNECEDOR,Cavacos,Ourinhos,SP,joao.martins@email.com,Cavacos Costa,NOVO,2025-05-22,,,,,,,,,,,,,,,,,,,,,
FALSE,Fernanda Oliveira,5515994620436,FORNECEDOR,Toras,Assis,SP,fernanda.oliveira@email.com,Toras Lima,ATIVO,2025-10-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Costa,5517975387858,FORNECEDOR,Toras,Ribeirao Preto,SP,pedro.costa@email.com,Toras Ribeiro,VIP,2025-07-07,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Almeida,5515915212366,FORNECEDOR,Cavacos,Rancharia,SP,julia.almeida@email.com,Cavacos Moreira,VIP,2025-10-03,,,,,,,,,,,,,,,,,,,,,
FALSE,Maria Silva,5514916358076,FORNECEDOR,Palanques,Paraguacu Paulista,SP,maria.silva@email.com,Palanques Dias,ATIVO,2025-07-13,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Mendes,5516949502908,FORNECEDOR,Toras,Ribeirao Preto,SP,camila.mendes@email.com,Toras Nunes,VIP,2025-01-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Thiago Lima,5516998341651,FORNECEDOR,Palanques,Bauru,SP,thiago.lima@email.com,Palanques Martins,ATIVO,2025-08-14,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Silva,5516999143825,FORNECEDOR,Eucalipto Verde,Botucatu,SP,aline.silva@email.com,Eucalipto Verde Pereira,ATIVO,2025-02-18,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Ribeiro,5514912978906,FORNECEDOR,Madeira Bruta,Ourinhos,SP,pedro.ribeiro@email.com,Madeira Bruta Nunes,NOVO,2025-08-16,,,,,,,,,,,,,,,,,,,,,
